series,attrib,true,fcast_50,fcast_avg,fcast_05,fcast_95,yar,yhw,ysvm,ylstm,ymlp,yrf,yxgb,yarima
13,AR,23,22.090610900502583,23.199032828111964,14.538043119861822,36.2995138226199,13.537493957267422,14.881777809513054,15.84458377165667,15.456213794091187,15.029963901501107,19.54882732508061,24.88646346499681,13.735761083913944
14,AR,25,21.869922690449474,22.67030950501493,14.240184357153563,33.32967364332463,15.94653151193518,16.609559578857716,16.40914931772627,15.414356141592389,14.10380457451382,18.485307703704215,19.610974061710852,15.55171627055571
15,AR,19,19.857206419555606,22.60159535635486,8.741116539104581,47.70621099067115,29.831379287083003,30.943347056024628,31.946859977296178,29.993753512754694,31.638060238078012,33.857587021124786,39.04867357348772,29.70783958040101
16,AR,18,19.9466667640308,20.91239187299751,10.549476546754825,35.600340811082376,28.41391646993617,30.302758816203333,31.102299005007605,29.70441744365604,29.259485907423997,34.31470878460305,39.63944377532259,30.817152214852623
17,AR,13,14.44308351820205,16.796531902340487,5.553036513328669,37.342718881763496,8.651607080211217,9.072498734580883,9.618747670621776,8.785725510547863,9.382011417284794,12.193342961940704,14.068900499383345,8.07824245666396
18,AR,14,15.211367917190513,16.91660754129253,8.14221022275875,32.25777712554828,20.687154000614274,21.38223804630182,20.571986609044725,20.695681011915795,20.496891793341533,25.78616442626135,29.88515177041033,19.458524429962363
19,AR,10,11.39344103172399,12.681372621064451,6.096958624929907,23.886944780909285,5.792895104410413,5.904255655982659,7.220921288586356,6.2240707262461505,6.106215809636667,6.773555254303465,8.331167308282469,6.096776773879293
20,AR,24,26.124635191060516,26.9733508166297,16.36963195796536,43.19533573595622,15.113253024453444,15.342474597748119,15.232027202331254,15.75017930770039,15.6671166131454,17.17657127466318,18.733005707566534,15.895703724423763
21,AR,24,18.878210248817783,23.016070894491563,7.564915279932047,52.12612459566042,20.024363564785972,22.71164479937935,20.835006276535843,21.685990115082,21.128551269851744,26.165648769382734,28.35274655100243,21.556024241612395
22,AR,31,30.552173772777504,31.414955032215705,20.875558395441946,45.165616133045276,32.922930985294,32.64264975611641,33.26766898479932,32.943154277097634,31.82773027626947,33.45814086113113,32.364576531017256,33.6135623483954
23,AR,16,15.896357490439234,16.13655486742482,9.225306066862817,25.00040065056133,13.655402818653588,14.57774584917718,14.647014800081042,13.785328438536544,12.329179635703598,16.621281130020822,19.55124424176196,14.676199920946146
24,AR,14,12.576694145315178,14.595456093508693,4.324072615719789,33.62056033233994,11.36637080093489,13.929025696591095,15.803919151274355,13.319864416990816,12.346056934405242,23.49315503911151,36.796311139146304,14.149248289805374
25,AR,17,17.45573106356722,18.61036778077673,9.74685761426927,31.794764812789985,28.501083144965374,28.916120938800983,28.848280887001184,28.003325182859847,26.587701613692133,33.82430585503296,37.588852657677954,29.724071518822576
26,AR,14,11.903313298788243,12.82005338220728,7.752713516260578,20.512179068955437,16.60705403859198,17.48871998180127,17.751461803789987,17.287170935695425,16.696789508065603,21.340251895910338,25.376222003018174,18.726631254462923
27,AR,16,19.912193279665928,21.713241314744696,9.868894414713038,40.53734001422918,10.402749634372437,11.59942448395283,11.493633941005788,10.222748895716904,9.651767311960326,11.90097042505326,12.179061381861015,9.499982238509384
28,AR,10,9.214687532154946,9.805179600935652,4.687717057304022,17.541661820534014,5.090199562404924,5.343777956812623,5.298255308218373,5.006432314614977,4.4538748581569125,5.993545350607774,6.943568284093073,4.381302922719425
29,AR,21,14.877048210718591,17.5622155777603,5.010935566420014,37.29200108103286,11.263140681376665,12.37297550775248,12.035850645764397,11.616768052336083,11.21571559379336,14.506777817347732,16.10622123455442,9.663352557220911
30,AR,9,8.65975750280812,8.91813313210118,6.044008116621837,12.42814965180384,10.282802681548898,10.447586048712305,9.719604524533166,10.200463140520954,10.23060958321255,10.600975707639108,10.652398068192772,10.690416775048641
31,AR,12,11.220025166146966,13.035961208967395,6.012976891395976,25.18436518043393,8.025201698067201,10.317626066071869,9.569240602572204,9.841662536836319,7.4361987226146615,13.421339377417313,18.233724488303952,7.354750880958581
32,AR,12,12.147375039666077,12.88226943156272,7.48866879676128,20.976444044689096,10.123155616310243,10.815766967641396,10.287299120583102,10.696500447762682,10.727406300139009,10.476333217174426,10.297479466836183,10.879746115698348
33,AR,23,21.656484763961213,22.68433216477574,12.12192578552745,38.409252940138146,19.758578830213086,20.253901637757156,21.324323229502962,19.75287474630519,20.89188904389666,24.018934166014212,26.31696935865118,21.43459690720139
34,AR,11,11.21377194736211,12.281604544190502,5.741906286265999,23.85080910047373,12.480542753582936,12.75309357496677,13.319004013014313,12.797267437726324,12.486652844444059,14.102256572184997,16.142424827048607,12.999078699101956
35,AR,17,16.983871031729194,17.5966179218328,12.781395629354266,26.20204442891175,16.999927915519034,17.11853923080884,18.271999659918922,16.843517987532124,17.268931406054232,19.371746709795108,20.570597446235453,17.42424945739632
36,AR,27,30.84806237803165,31.632881889901977,23.08284360362125,42.49548497513011,34.40295931480759,35.270541491294914,34.967502345231985,34.941374599062364,33.39659932023337,36.450061291027964,37.66741971237268,34.92924857376486
37,AR,22,18.746465149805406,20.56430093536173,9.87522710877279,38.95667924349392,23.918594821514382,23.57689109190822,23.538995139716217,24.340916710866136,24.921979846726508,27.899256601540795,29.54092579762349,23.27396912272276
38,AR,16,19.499846953999967,21.830403294279318,8.20420316581527,43.10525719461772,21.091651953762927,20.510393370197555,22.88131368443667,23.372773600252867,19.953386186758557,22.606424759381124,24.323025559473937,18.912880880154283
39,AR,20,18.56945146146483,20.30491956063586,9.682136544985843,37.49221060613483,14.02852310085229,13.911268719247232,14.751559522712311,14.203228530721088,14.314608999243019,20.427127442079925,23.421254756894243,13.166375481408092
40,AR,12,11.916643937129336,13.683357506525308,6.355718842198812,26.850807085470294,7.580202576046017,8.070141302604625,8.934805297975025,8.080092554034218,7.35322908935319,9.81126096031975,12.903341641004296,8.916312381731315
