series,model,true,fcast_50,fcast_avg,fcast_05,fcast_95,yar,yhw,ysvm,ylstm,ymlp,yrf,yxgb,yarima
10,AR,19,19.52768896177238,19.44260732082292,12.86068242818879,24.808776320427103,17.952580980417864,18.296318403504596,18.360973644219747,17.95365944265685,18.276977501370794,20.06889172122789,21.115196131385808,-1
11,AR,12,10.802242883001092,11.632227512044707,4.393138447165351,21.94869130088826,7.27534323081025,8.52452381647455,7.759420489494243,7.641286378383375,7.810150249494396,10.004751617552422,12.439652117411836,-1
12,AR,23,18.227351305727574,19.6447955023206,7.331395851421669,38.207759307919744,11.618051953190031,11.751490995221866,12.440170345132906,13.022507854655808,11.868286900747837,16.614295655145956,20.673019037768633,-1
13,AR,23,20.269014774147596,21.66115266548369,14.82861576369757,30.878267364348773,20.938424328172452,23.01762641717644,24.506797148826884,23.773658264094575,24.976959937638966,30.236145843741735,38.491860731574135,-1
14,AR,25,21.035351582835045,22.92079302632385,12.801670506244788,36.35826752282077,18.225645900092772,19.156460072359426,18.925319014872116,17.70021070712578,18.736868753284444,21.31983435623651,22.618109758397132,-1
15,AR,19,18.717846274221525,22.204288316853678,7.034690502310175,43.70378733695197,52.22488308024941,55.57910205269119,57.38156857195824,53.73090210080862,50.19737318438266,60.81353387201165,70.1375390850146,-1
16,AR,18,19.720046799851254,20.78767532647809,10.664130370631254,40.506170472141044,27.133862020295897,28.937611519451806,29.701132211351172,28.245072926869632,25.51816488758716,32.76882208101129,37.85367635253334,-1
17,AR,13,10.595181273283208,13.259461831213612,5.042974918004552,31.035935198653753,15.784367373634922,16.55226037148771,17.54886063361105,16.011412524715176,15.572355033364733,22.246064001706735,25.667912558502486,-1
18,AR,14,15.43484155050753,17.410730820531835,7.835194723528127,33.9578882443178,14.11491835264965,15.094988230388605,14.522983752533367,14.662363669862778,13.411236113966664,18.203980690814642,21.09769862541327,-1
19,AR,10,10.851100595119455,10.903517073296902,3.5091293243878674,19.801810487969398,8.258741452997505,8.417504556233773,10.294631768746637,8.833850461086634,8.657707541094624,9.656836617030134,11.877473277288509,-1
20,AR,24,24.591903944788708,24.84639090462775,14.2393451362711,37.50638342091934,28.54635112441712,29.614260480099972,29.401073362442716,30.369227086682805,29.27350483478449,33.15445970870554,36.158711364625624,-1
21,AR,24,16.54958850721154,20.888513133137835,5.466189403194585,53.24935577747137,25.82645387279911,29.29237900065254,26.87198156383375,28.059794716733148,27.29322294391462,33.74718596213965,36.56799870805057,-1
22,AR,31,28.02521457175313,29.67718498512022,19.832737642247626,43.72875212904322,26.894038538643027,26.673622698318407,27.18435106166024,27.009096708158086,24.537429315493526,27.339993296646487,26.446397876062374,-1
23,AR,16,15.950792527023582,16.406951015906667,8.853426949113315,25.618936603861524,17.50015731753302,19.015338188854244,19.10569320951736,18.00654548649506,16.081849223125204,21.680943342636667,25.50281265131104,-1
24,AR,14,11.013579841698046,14.837815400907663,4.776289014143269,35.65094579962622,6.249241939155111,7.658192142345622,8.689010423189526,7.315416545802963,7.254091194303739,12.916559940259322,20.230648357700947,-1
25,AR,17,16.230010462026776,17.008745407640305,8.932197999573429,27.665136607253032,19.796676946472992,20.5071807664861,20.459068911911604,19.88029164761726,20.66170497509199,23.98804306905895,26.65784245014216,-1
26,AR,14,13.031032897407622,13.875410049703113,7.627373310746182,24.283862040288557,9.944173555110995,10.472108198819011,10.629435938704145,10.32468703922562,10.077240163963916,12.778375265689872,15.195082474268512,-1
27,AR,16,16.627340894824563,19.107978034196165,9.215838990802464,34.22726556216641,29.068177758570933,32.41202034533068,32.1164121248464,28.543755032314376,26.728568179324682,33.25462363065061,34.031687161895206,-1
28,AR,10,9.26639344004377,9.482621234192436,5.0799820343607625,15.021378732989383,4.127728138444237,4.333359108520318,4.29644402980183,4.07594683798788,3.9534897829601063,4.8602663784476,5.630655897883627,-1
29,AR,21,16.4568487639469,19.228088739893767,7.195274539382498,40.73911369055417,11.542140293205742,13.150904514490994,12.792583521558585,12.414046555012035,9.311845446072573,15.418865879863873,17.118871480201243,-1
30,AR,9,9.07131335682278,9.110966713857646,6.172303400494285,12.730089975567902,5.782187245336816,5.874847613658926,5.465491758615386,5.723449153199855,5.5246597371594355,5.9611011144680575,5.990016744430701,-1
31,AR,12,8.81951408749334,10.673437106229315,4.799389434342541,22.112396228417243,7.073091621197333,9.09354272007346,8.433945721710138,8.750125090713157,6.880365367442836,11.829031427150223,16.070475080084822,-1
32,AR,12,10.953008954012018,12.036609024336169,7.809830254712057,20.810466476972753,13.734424301495286,14.674113320983196,13.957123291757323,14.477540766722912,12.913086892278793,14.213592182332512,13.970935308511335,-1
33,AR,23,20.365011449936624,21.646585835325524,11.499378132138974,35.52084464088352,24.9811004077408,25.607345285767234,26.960697138235833,25.185061934962842,24.21008737955782,30.36753863950073,33.272982820536846,-1
34,AR,11,10.096606333143395,11.381117302050422,5.239723712452922,21.89980498420907,9.737756311836831,10.267724741329761,10.723348513864705,10.346830054026197,8.992401186896425,11.353957991732324,12.996530905025892,-1
35,AR,17,16.5220840346961,16.954708343020595,12.36766940490826,23.59056928702909,16.978625582265472,17.09708826764469,18.249103314246213,16.794714766953813,16.361657579951487,19.347472288976,20.54482076505172,-1
36,AR,27,28.90867383816787,29.843764689779256,20.840591606937974,40.29226753936081,27.734882396083158,28.4343073907073,28.190004131776682,28.253693624285617,26.485683936129547,29.385209393936048,30.366616032269768,-1
37,AR,22,19.207736175780727,21.157236880505877,8.882654584770618,39.57894094914194,17.88598787441458,18.13003916665054,18.10089812787574,18.708444612016933,18.542275166605872,21.453830063284634,22.716232587334044,-1
38,AR,16,18.823768433281504,20.698000089840058,7.169620916944307,41.51570578502066,24.72692857126882,24.04548647708076,26.825049566158835,27.425237848618735,21.13254199864158,26.502781835315275,28.515249396525203,-1
39,AR,20,18.89434263639725,20.23714600325954,9.410685695366306,33.57572785285968,20.497886178342473,21.003617572773475,22.272311826481637,21.435319855188553,18.116721121833002,30.84144096146607,35.36205704284086,-1
40,AR,12,10.98016529821407,12.917524056092114,5.04897635260311,29.736502166879742,15.885108593035113,16.911826520061332,18.723820503751277,16.965198392345943,16.996137230631508,20.560525160869922,27.040304150723895,-1
41,AR,10,9.84873869256341,10.149136379732525,6.530355168276553,14.818884736749384,9.814805006927289,9.992613358852639,9.734781939777076,10.17431292078175,9.808721100492718,9.893686134830046,9.841785510919086,-1
42,AR,16,15.606193382602063,15.981471651200128,9.874634693984992,22.804628580766284,17.24674455226481,18.063756155588994,17.967689414443498,17.556240482191097,17.7674215479738,19.61519369399917,20.924458777180476,-1
43,AR,23,21.269581623121585,22.180322651346223,12.03129459888781,36.125152103611164,21.556788086086936,22.66472638273539,20.32623435751158,21.17890602961432,21.816815413490485,22.23023132980712,21.024657813615864,-1
44,AR,13,13.085597233834177,13.641060090533584,9.454393042324929,19.49159537541342,9.938692039331016,10.374011008805441,11.040245893249113,9.87985453564811,10.58719741920948,11.394055460687824,12.623729294466687,-1
45,AR,15,12.445624790863498,13.421455824968977,8.125003151327151,22.690005808619006,11.118636129878078,12.22879951096222,12.540064503920451,11.38560003941103,10.472354031318245,14.088819279586774,16.75959814147901,-1
46,AR,18,17.22629817192621,17.41852382027898,12.333468198969928,22.162417433322315,15.932935650785412,16.59843178948412,15.497545035548802,15.544387908706643,15.546826161500807,17.489868415970644,18.565627753087075,-1
47,AR,5,4.78675113965943,4.983176114142296,2.760044530606041,7.958024110624291,6.874908982859178,7.39008719675625,7.217429792094243,7.23013330766622,6.404077816942852,7.429450431163168,7.423945636404459,-1
48,AR,12,10.849547158075705,11.350543211761988,7.116544798171454,18.247840212680245,12.59952020821444,13.223895209997307,13.264938899143003,12.995652422971338,12.057635534240818,15.130520652090228,16.094227614333967,-1
49,AR,19,17.283764340552654,18.275301798141722,11.450946115138265,31.92852202861767,20.331263208484618,21.77429856002616,20.881872268839093,20.299011024235604,20.852918509216305,24.960233015221828,27.599981434069722,-1
50,AR,26,21.971605152209673,22.634529353241387,13.3994767614867,34.832199917769806,15.7229131776185,16.23275042597435,15.895889561330211,15.509256178619626,15.558525377968248,18.717822600941492,19.266205621143456,-1
51,AR,15,14.221057693428174,14.092994829593023,7.674735468393764,22.17836144200694,14.470850339784443,15.652607209518084,16.168050231540672,15.271879765196909,15.405365630571131,18.785788807578314,22.344662155426587,-1
