series,attrib,true,fcast_50,fcast_avg,fcast_05,fcast_95,yar,yhw,ysvm,ylstm,ymlp,yrf,yxgb,yarima
16,rfAR,18,19.551573086101303,20.126071010982173,11.455613936170838,31.44159775595558,18.941936761806787,20.215779835280525,20.087935785263525,19.8102486042936,19.046669860968798,22.91939747519648,26.44132252235244,20.60681208453303
17,rfAR,13,10.777473512339604,13.332822097803847,4.181543382661606,28.50956540201865,11.17472281672785,11.99871342444495,11.986813105926348,11.65505230844698,11.157620295344758,16.06749962435776,18.511492132286882,10.731100847865713
18,rfAR,14,16.591304583151448,18.515294378274636,8.0148763341937,39.091575199793695,15.469545431689081,16.118941339585245,15.574376906729665,15.472071494418495,15.513537147791286,19.4170491595187,22.312582433212263,14.270440048565812
19,rfAR,10,10.652871325846169,11.85701993764397,5.000120399854044,23.341342829706143,9.544948211655056,9.632838084594884,11.070923522280205,10.138470891366381,10.11540376774604,11.111185782830438,13.693629653783596,9.275018827576861
20,rfAR,24,27.973148585026372,29.042323858706318,15.405972638766965,51.40819065316793,25.3350626849942,25.632402306142087,25.569211630858717,26.363857589413325,23.795128383286258,28.805544212080132,31.372723364065475,25.828539933668992
21,rfAR,24,19.08321879404592,28.2640104070384,7.2760458772109455,70.00387484544389,18.49064540879936,21.407183665804215,19.86861111694989,20.13046505270208,25.088454564239626,24.522114603771296,26.316972781483596,19.617881746100103
22,rfAR,31,30.865591869938832,31.79163234000614,22.35562728215036,43.80939389291295,31.697387976885633,31.196283157357243,31.558966468254386,31.71208625422813,31.283436667483787,32.22976888138133,31.11355958955879,32.83565292539893
23,rfAR,16,16.20563231826022,17.082794932726067,10.169475048377313,26.469807161633376,16.336324941564566,16.89340866760182,17.105919542173016,16.363886768590532,16.210329627542915,19.757691157968132,23.19669746299436,18.419727749497916
24,rfAR,14,14.34709306529496,17.31407158170513,4.950183664488554,39.87091170304278,11.3317983215992,14.045338395479504,15.270999925846123,13.291088751427942,14.667702654948043,23.48688248637331,36.81475339457445,13.982340158659012
25,rfAR,17,18.315777133394832,19.256837627270542,10.966146416262134,30.52712068417394,18.850266850794544,18.490849143444745,18.720626325343222,18.33969197565508,18.245332358510687,22.259777010830135,24.60495586261086,18.246927933481984
26,rfAR,14,14.52148385495019,15.407757345591708,9.089213511635808,24.526707012614043,14.690568136354434,15.611599838940762,15.65808508210206,15.057635796809546,13.56668882268656,18.99062481014518,22.425239482396513,15.821918025654211
27,rfAR,16,14.993502082445465,15.853206677436662,8.970238125611129,25.860926519512063,15.87012719196112,17.247432753024075,16.639469676236427,15.348672572077202,15.091497316842329,18.013439650813158,18.450090914042377,14.576782700367495
28,rfAR,10,11.005807027917411,10.930738774860675,4.913360672549255,17.304267104073016,9.725840286478551,10.337426380602256,9.965331834744816,9.566653240266874,10.178988041264992,11.585629053449955,13.261660434880577,10.612196455731883
29,rfAR,21,18.102343721314362,21.288784936079313,6.264739503210577,48.858084371830486,16.648671154870446,18.599039922411922,17.440149414239656,16.984990908597364,17.295691559300874,21.53892729071519,23.683099661902723,13.866965832233793
30,rfAR,9,9.295972592173946,9.229115215913266,6.173719654944501,12.237240426322732,9.32943025751363,9.6276688277652,8.928729874151237,9.257006337648646,9.730732365835346,9.6678301760421,9.679702950468103,9.730817275311065
31,rfAR,12,10.516810383260331,11.199138402445598,4.5007790176753995,23.482714164197535,9.121809243154452,11.797161733502582,10.364933002874436,11.172717645313384,10.402361201652994,15.117535875471757,20.54465321944778,8.292572556810015
32,rfAR,12,12.516935651294274,13.360841263118933,7.990548805627563,20.856270054488835,12.733564832587986,13.529971678834196,12.800666378964765,13.516813709512007,13.465246955857948,13.264882369228374,13.026892707820634,13.907727504491152
33,rfAR,23,20.322654308667445,21.39205923708251,9.575954449618289,37.43061274099259,18.55975678139817,19.172912310830057,19.402305156467538,18.79103938422155,19.485135605655483,22.678078377073064,24.86585286194507,19.884868211595293
34,rfAR,11,10.755586689009874,11.943411704582523,6.385991968634289,21.92428094766672,11.000000000000002,11.358697712605256,11.224215875206555,11.311606896444879,11.285496095320186,12.487871089990017,14.230813815071942,12.134375109432167
35,rfAR,17,18.724391492295698,18.795410601521148,13.95135716400902,23.921052940103383,18.594300178987478,18.420114781863163,19.26880669569518,18.359648686716497,18.097473855081375,21.182053333558656,22.471311983126043,19.09353635397309
36,rfAR,27,25.910308298115783,26.050560127354757,17.281846108674998,34.308306201045,26.920947606162848,27.7751539218374,26.875728496088858,27.343834628533333,27.83300381248903,28.442968204556568,29.41727340806666,27.60587211177815
37,rfAR,22,20.89975294181625,22.278524932011155,11.318379225776962,41.339311543855246,20.56162772054189,20.624211390243076,20.19992124899827,20.727460248390052,18.136713132806307,24.211675129923695,25.464516412069734,19.797437049745316
38,rfAR,16,21.99786519386368,22.679749710543295,8.349143122076399,39.90806997588773,18.59173687380189,17.79710012359145,19.870059128431766,20.557606638904428,21.221658756946677,20.11999372898846,21.535530249203447,16.57132702632021
