idserie,month,periodo,val
6,22-Sep,44,16
6,22-Oct,45,16
6,22-Nov,46,15
6,22-Dec,47,17
7,19-Jan,0,12
7,19-Feb,1,12
7,19-Mar,2,12
7,19-Apr,3,12
7,19-May,4,12
7,19-Jun,5,12
7,19-Jul,6,13
7,19-Aug,7,12
7,19-Sep,8,13
7,19-Oct,9,13
7,19-Nov,10,12
7,19-Dec,11,13
7,20-Jan,12,12
7,20-Feb,13,12
7,20-Mar,14,12
7,20-Apr,15,13
7,20-May,16,12
7,20-Jun,17,12
7,20-Jul,18,13
7,20-Aug,19,12
7,20-Sep,20,13
7,20-Oct,21,12
7,20-Nov,22,13
7,20-Dec,23,13
7,21-Jan,24,12
7,21-Feb,25,12
7,21-Mar,26,12
7,21-Apr,27,12
7,21-May,28,13
7,21-Jun,29,12
7,21-Jul,30,14
7,21-Aug,31,12
7,21-Sep,32,12
7,21-Oct,33,12
7,21-Nov,34,12
7,21-Dec,35,13
7,22-Jan,36,13
7,22-Feb,37,12
7,22-Mar,38,13
7,22-Apr,39,12
7,22-May,40,12
7,22-Jun,41,12
7,22-Jul,42,14
7,22-Aug,43,12
7,22-Sep,44,12
7,22-Oct,45,13
7,22-Nov,46,12
7,22-Dec,47,14
8,19-Jan,0,23
8,19-Feb,1,23
8,19-Mar,2,23
8,19-Apr,3,23
8,19-May,4,24
8,19-Jun,5,24
8,19-Jul,6,24
8,19-Aug,7,24
8,19-Sep,8,24
8,19-Oct,9,25
8,19-Nov,10,24
8,19-Dec,11,26
8,20-Jan,12,25
8,20-Feb,13,23
8,20-Mar,14,24
8,20-Apr,15,24
8,20-May,16,24
8,20-Jun,17,24
8,20-Jul,18,24
8,20-Aug,19,25
8,20-Sep,20,25
8,20-Oct,21,25
8,20-Nov,22,24
8,20-Dec,23,27
8,21-Jan,24,25
8,21-Feb,25,24
8,21-Mar,26,25
8,21-Apr,27,24
8,21-May,28,25
8,21-Jun,29,24
8,21-Jul,30,26
8,21-Aug,31,24
8,21-Sep,32,25
8,21-Oct,33,26
8,21-Nov,34,25
8,21-Dec,35,27
8,22-Jan,36,26
8,22-Feb,37,24
8,22-Mar,38,25
8,22-Apr,39,25
8,22-May,40,25
8,22-Jun,41,25
8,22-Jul,42,26
8,22-Aug,43,26
8,22-Sep,44,25
8,22-Oct,45,27
8,22-Nov,46,26
8,22-Dec,47,28
9,19-Jan,0,10
9,19-Feb,1,9
