,idserie,avgorig,stdorig,adforig,avgdiff1,stddiff1,adfdiff1,avglogdiff,stdlogdiff,adflogdiff,avgBCdiff,stdBCdiff,adfBCdiff,BClambda
16,16,16.023809523809526,1.4390488796439596,0.10476635178012172,0.12195121951219512,1.2725070693410325,9.289577924465379e-05,0.007448332915882485,0.07707176712089293,0.00018853435827204492,0.004918548763762052,0.0508422202542909,0.00020956146866487704,-0.14867480313524636
17,17,10.80952380952381,1.219642711891971,1.2815248385566608e-06,0.0975609756097561,1.2455751546149956,6.934977117489045e-10,0.008968897076227248,0.114109185036709,8.870543026281227e-11,0.02134175360477155,0.2713929680736077,1.967968621379965e-10,0.3637654891037122
18,18,12.976190476190476,1.2245134162498847,1.1356398586387742e-06,0.07317073170731707,1.1973597764520563,4.512961047083502e-06,0.005442525641809993,0.08697596717352163,9.994210490468828e-06,3.092416094242462e-05,0.0004865213278651368,7.42712546036139e-05,-1.9945093416575992
19,19,9.571428571428571,0.6226998490772391,0.14830545272680867,0.024390243902439025,0.9496547479966725,0.15746405261474122,0.00256976867458113,0.09929032045630883,0.1890310362149621,0.016341294163618774,0.6351837543886522,0.16296330356996847,0.8220644791984747
20,20,22.523809523809526,1.6364609788037698,4.927160957249266e-05,0.14634146341463414,1.3536036024889373,0.0009762538276328485,0.006399128401646129,0.058008050953142945,0.0014753083556384202,0.0011646115621239907,0.010454123043475705,0.0018398145395287992,-0.5451464869076649
21,21,15.80952380952381,4.130249013812578,0.0018286924330733643,0.3170731707317073,2.0652646956113707,0.0010996057844150512,0.02180043600053894,0.12031472607406507,0.012142024452956049,0.13689409513342954,0.8449990701532842,0.002610514017734789,0.6888947104220234
22,22,28.5,1.9790570145063195,0.7409269185098917,0.12195121951219512,1.3287647289635354,2.6901673412590538e-05,0.004290016255211321,0.046039046871417244,6.90448716052695e-05,0.03084067008622353,0.33377856756716906,3.990106301164761e-05,0.5893817492790494
23,23,14.976190476190476,0.8014301276050874,0.000566281902860489,0.04878048780487805,0.8540068975615414,1.3144439199228547e-05,0.003256863234744457,0.05565020440146667,3.5988866951616285e-05,1.2467092603260848e-07,1.9965504557872413e-06,0.0013978731423559467,-3.7626605964339235
24,24,11.619047619047619,1.5422985467334902,7.819597394036457e-05,0.07317073170731707,1.4548530040982186,0.0019516922889182432,0.006399128401646118,0.11263794400369745,0.0016278174774410823,0.001638629903601638,0.027288501134458992,0.0015762138036646027,-0.5601197100834439
25,25,15.547619047619047,1.635941274885894,0.003793169773829347,0.12195121951219512,0.9925360950915026,3.322470093883982e-07,0.007937131717917751,0.06199236182766145,2.4964836364922784e-07,0.001657474326086785,0.012722160716641116,2.2258116550688007e-07,-0.5747468018205597
26,26,13.904761904761905,0.7499055118106487,8.615756827106475e-06,0.0,0.9627197246824659,0.020271715600219238,0.0,0.0670118407107204,0.02968709639661582,0.0,7.639861912868887e-07,0.027982502000922706,-4.290587612658112
27,27,13.761904761904763,1.6447539084924325,7.051140918472262e-05,0.14634146341463414,1.049064056956418,1.7775072714905408e-05,0.010617513933118182,0.07400198373903842,3.391942196421338e-05,0.0022899211019137685,0.015813122780528602,5.4232570070528616e-05,-0.5875280913591249
28,28,10.30952380952381,0.6357633296580327,0.0010969341871499326,0.0,0.7650920556760059,0.08807847560723808,0.0,0.07447791502026666,0.009581823466415607,0.0,0.07237312773065895,0.009566032263802987,-0.012326038180282725
29,29,13.714285714285714,2.994325699478569,0.02397131134198614,0.1951219512195122,1.6852228946463121,0.0003401009149392805,0.015511921139512112,0.1098770388283164,0.00264282588988158,0.017485664508551435,0.12491245099737062,0.0024888332823347734,0.04760394631899932
30,30,10.833333333333334,1.4786845290689752,0.07722300503002077,-0.12195121951219512,0.5497281790041291,0.015129665587925105,-0.01077640859217168,0.04583852493418613,0.0460785662412038,-0.0028906352394376476,0.011934038636373184,5.575967222132484e-16,-0.5451706271194106
31,31,10.952380952380953,0.8151067985058899,0.009550544960471216,0.024390243902439025,1.0238093591129442,0.0023136697472098456,0.002324638531812799,0.08923592266848146,0.002160894193206701,8.386277007575207e-07,2.582186336345967e-05,2.550878940442697e-18,-3.3748105736150618
32,32,12.047619047619047,0.785353452498602,0.20751519888716852,0.04878048780487805,0.9093342381613292,6.094793572528892e-06,0.004074489869833319,0.07347934616225005,7.077116987168087e-06,2.090077095429754e-05,0.000356257889508074,1.0987217306936158e-05,-2.1269937938552417
33,33,18.285714285714285,1.8808016817268096,4.3582416414616354e-07,0.12195121951219512,1.3649823004520218,0.0008411181095697145,0.007016635913458068,0.07407395628160283,0.0020011543595934355,0.22056666985282433,2.5019742604402464,0.0006966426352779081,1.2072323867862884
34,34,11.619047619047619,0.7544275960835648,4.607186778255871e-05,-0.024390243902439025,0.8691965698149006,4.413709823593837e-07,-0.0021222287070641385,0.07242970671906708,1.7906469598383835e-06,-3.147295127024537e-06,9.955555126278201e-05,4.2535822511403915e-05,-2.6689285590271195
35,35,17.69047619047619,0.7067058133169443,0.8399141460235814,-0.04878048780487805,0.8540068975615411,0.04887894690066482,-0.002712820368542051,0.0479768260399774,0.05108607698080972,-0.0013773911940355601,0.024421782852658246,0.05178958145486487,-0.2346371466378738
36,36,25.523809523809526,2.072933224731325,1.6279171325220588e-06,0.17073170731707318,1.0097678802187537,0.00012364095440265828,0.006737887234833124,0.03955675289270372,0.00011764549782988424,0.004661283584705836,0.027341738231123465,0.00011617465956452188,-0.11411510008477824
37,37,18.071428571428573,2.364346855776827,0.6677180268361445,0.14634146341463414,1.371503992147273,0.002209807013504977,0.008206639917590559,0.07055536069388622,0.002772841760987104,0.007532279784771981,0.06461108875577984,0.0027611901034054814,-0.02981275142655045
